Images,Links
https://static.wikia.nocookie.net/hotwheels/images/0/0c/S7300405.JPG/revision/latest?cb=20140608003602,/wiki/Lamborghini_Countach
https://static.wikia.nocookie.net/hotwheels/images/6/6e/Lamborghini_Diablo_RedUH.JPG/revision/latest?cb=20091010222005,/wiki/Lamborghini_Diablo
https://static.wikia.nocookie.net/hotwheels/images/b/b2/Lamborghini_Countach_Yel.JPG/revision/latest?cb=20090122230722,/wiki/25th_Anniversary_Lamborghini_Countach
https://static.wikia.nocookie.net/hotwheels/images/0/04/IMG_0105.jpg/revision/latest?cb=20171222011939,/wiki/Lamborghini_Miura
https://static.wikia.nocookie.net/hotwheels/images/a/ae/S7300424.JPG/revision/latest?cb=20140607234814,/wiki/Lamborghini_Murci%C3%A9lago
https://static.wikia.nocookie.net/hotwheels/images/5/5b/FE_Tooned_Countach.jpg/revision/latest?cb=20080414032803,/wiki/Lamborghini_Countach_(%27Tooned)
https://static.wikia.nocookie.net/hotwheels/images/1/17/Reventon_-_09NM.JPG/revision/latest?cb=20101120221747,/wiki/Lamborghini_Revent%C3%B3n
https://static.wikia.nocookie.net/hotwheels/images/7/74/REVENT%C3%93N_ROADSTER_A.jpg/revision/latest?cb=20100908184917,/wiki/Lamborghini_Revent%C3%B3n_Roadster
https://static.wikia.nocookie.net/hotwheels/images/f/ff/Lamborghinigallardo_int_black.JPG/revision/latest?cb=20091215080540,/wiki/Lamborghini_Gallardo_LP_560-4
https://static.wikia.nocookie.net/hotwheels/images/2/2f/GALLARDO_SUPERLEGGERA_GREEN_A.jpg/revision/latest?cb=20101220215324,/wiki/Lamborghini_Gallardo_LP_570-4_Superleggera
https://static.wikia.nocookie.net/hotwheels/images/b/b9/MURCIELAGO_LP_670-4_SV_A.jpg/revision/latest?cb=20110303121035,/wiki/Lamborghini_Murci%C3%A9lago_LP_670-4_SV
https://static.wikia.nocookie.net/hotwheels/images/f/f2/LAMBORGHINI_ESTOQUE_A.jpg/revision/latest?cb=20110924013034,/wiki/Lamborghini_Estoque
https://static.wikia.nocookie.net/hotwheels/images/d/d8/LAMBORGHINI_AVENTADOR_NM_A.jpg/revision/latest?cb=20111216141316,/wiki/Lamborghini_Aventador
https://static.wikia.nocookie.net/hotwheels/images/a/ab/Lamborghini_Aventador_J-RED-1.jpg/revision/latest?cb=20130521095413,/wiki/Lamborghini_Aventador_J
https://static.wikia.nocookie.net/hotwheels/images/d/df/S7300389.JPG/revision/latest?cb=20140608002017,/wiki/Lamborghini_Sesto_Elemento
https://static.wikia.nocookie.net/hotwheels/images/7/7a/S7300388.JPG/revision/latest?cb=20140608005200,/wiki/Lamborghini_Veneno
https://static.wikia.nocookie.net/hotwheels/images/2/26/Lamborghini_Urus_red_metallic_2015.JPG/revision/latest?cb=20141201175637,/wiki/Lamborghini_Urus
https://static.wikia.nocookie.net/hotwheels/images/8/88/HW-2015-222-Lamborghini_Huracan_LP_610-4-Garage.JPG/revision/latest?cb=20150227034853,/wiki/Lamborghini_Hurac%C3%A1n_LP_610-4
https://static.wikia.nocookie.net/hotwheels/images/f/ff/Lamborghini_Huracan_LP_620-2_Super_Trofeo_-_16NM_Night_Burnerz_600pxOTD.jpg/revision/latest?cb=20160923070621,/wiki/Lamborghini_Hurac%C3%A1n_LP_620-2_Super_Trofeo
https://static.wikia.nocookie.net/hotwheels/images/3/3a/LamboPaceCarRear.JPG/revision/latest?cb=20180520154105,/wiki/Lamborghini_Countach_Pace_Car
https://static.wikia.nocookie.net/hotwheels/images/3/38/2019_Lamborghini_Centenario_Roadster.png/revision/latest?cb=20190301210611,/wiki/Lamborghini_Centenario_Roadster
https://static.wikia.nocookie.net/hotwheels/images/9/91/Miura_ID-0.jpg/revision/latest?cb=20190729103556,/wiki/%2771_Lamborghini_Miura_P400_SV
https://static.wikia.nocookie.net/hotwheels/images/7/79/82_Lamborghini_Countach.jpg/revision/latest?cb=20200102190311,/wiki/%2782_Lamborghini_Countach_LP500_S
https://static.wikia.nocookie.net/hotwheels/images/1/10/17_Lamborghini_Urus.jpg/revision/latest?cb=20200928063010,/wiki/%2717_Lamborghini_Urus
https://static.wikia.nocookie.net/hotwheels/images/1/1a/Image_2021-07-08_002633.png/revision/latest?cb=20210708052718,/wiki/LB-WORKS_Lamborghini_Hurac%C3%A1n_Coup%C3%A9
https://static.wikia.nocookie.net/hotwheels/images/2/24/LamborghiniSi%C3%A1nFKP37.jpg/revision/latest?cb=20220603060922,/wiki/Lamborghini_Si%C3%A1n_FKP_37
https://static.wikia.nocookie.net/hotwheels/images/b/b5/LamborghiniEssenzaSCV12.jpg/revision/latest?cb=20220815064218,/wiki/Lamborghini_Essenza_SCV12
https://static.wikia.nocookie.net/hotwheels/images/5/55/LamborghiniCountachLP5000.jpg/revision/latest?cb=20220908150623,/wiki/Lamborghini_Countach_LP_5000_QV
https://static.wikia.nocookie.net/hotwheels/images/8/86/LamborghiniCountachLPI800-4.jpg/revision/latest?cb=20230608133127,/wiki/Lamborghini_Countach_LPI_800-4
https://static.wikia.nocookie.net/hotwheels/images/b/b5/Image_Not_Available.jpg/revision/latest?cb=20151025125428,/wiki/LBWK_Lamborghini_Aventador_LP_700-4
https://static.wikia.nocookie.net/hotwheels/images/8/8f/Premium_1-43_2023_Mix_1_Lamborghini_Countach_LPI_800-4_White_China_HMD49.jpg/revision/latest?cb=20230718212810,/wiki/Lamborghini_Countach_LPI_800-4_(1:43)
